timestamp,heartrate
2023-11-10 20:00:10.629,61
2023-11-10 20:00:11.594,62
2023-11-10 20:00:12.560,62
2023-11-10 20:00:13.527,62
2023-11-10 20:00:14.438,62
2023-11-10 20:00:15.455,62
2023-11-10 20:00:16.418,62
2023-11-10 20:00:17.386,62
2023-11-10 20:00:18.350,63
2023-11-10 20:00:19.315,63
2023-11-10 20:00:20.241,63
2023-11-10 20:00:21.258,63
2023-11-11 08:30:03.921,107
2023-11-11 08:30:04.843,107
2023-11-11 08:30:05.859,107
2023-11-11 08:30:06.831,107
2023-11-11 08:30:07.808,107
2023-11-11 08:30:08.781,108
2023-11-11 08:30:09.749,109
2023-11-11 08:30:10.661,109
2023-11-11 08:30:11.678,109
2023-11-11 08:30:12.648,110
2023-11-11 08:30:13.620,111
2023-11-11 08:30:14.580,112
2023-11-11 08:30:15.542,113
2023-11-11 08:30:16.474,113
2023-11-11 08:30:17.484,113
2023-11-11 08:30:18.451,113
2023-11-11 08:30:19.434,113
2023-11-11 08:30:20.396,113
2023-11-11 08:30:21.368,113
2023-11-11 08:30:22.282,113
2023-11-11 08:30:23.308,112
2023-11-11 09:00:16.483,82
2023-11-11 09:00:17.453,82
2023-11-11 09:00:18.420,82
2023-11-11 09:00:19.388,82
2023-11-11 09:00:20.294,82
2023-11-11 09:00:21.321,80
2023-11-11 09:00:22.286,81
2023-11-11 09:00:23.251,81
2023-11-11 09:30:18.472,71
2023-11-11 09:30:19.386,71
2023-11-11 09:30:20.404,71
2023-11-11 09:30:21.372,71
2023-11-11 09:30:22.337,71
2023-11-11 09:30:23.300,71
2023-11-11 10:00:08.745,65
2023-11-11 10:00:09.710,65
2023-11-11 10:00:10.686,65
2023-11-11 10:00:11.645,63
2023-11-11 10:00:12.608,64
2023-11-11 10:00:13.536,64
2023-11-11 10:00:14.548,64
2023-11-11 10:00:15.519,64
2023-11-11 10:00:16.489,63
2023-11-11 10:00:17.458,63
2023-11-11 10:00:18.423,63
2023-11-11 10:00:19.342,63
2023-11-11 10:00:20.362,63
2023-11-11 10:00:21.327,65
2023-11-11 10:00:22.301,65
2023-11-11 10:00:23.258,65
2023-11-11 10:30:08.758,59
2023-11-11 10:30:09.720,59
2023-11-11 10:30:10.655,59
2023-11-11 10:30:11.660,59
2023-11-11 10:30:12.633,58
2023-11-11 10:30:13.615,60
2023-11-11 10:30:14.576,58
2023-11-11 10:30:15.544,58
2023-11-11 10:30:16.453,58
2023-11-11 10:30:17.472,58
2023-11-11 10:30:18.441,58
2023-11-11 10:30:19.419,58
2023-11-11 10:30:20.377,58
2023-11-11 10:30:21.338,58
2023-11-11 10:30:22.269,58
2023-11-11 10:30:23.278,58
2023-11-11 11:00:01.021,62
2023-11-11 11:00:01.983,62
2023-11-11 11:00:02.955,62
2023-11-11 11:00:03.912,61
2023-11-11 11:00:04.835,61
2023-11-11 11:00:05.848,59
2023-11-11 11:00:06.814,59
2023-11-11 11:00:07.781,59
2023-11-11 11:00:08.746,58
2023-11-11 11:00:09.714,59
2023-11-11 11:00:10.640,59
2023-11-11 11:00:11.649,59
2023-11-11 11:00:12.612,59
2023-11-11 11:00:13.582,58
2023-11-11 11:00:14.552,58
2023-11-11 11:00:15.527,58
2023-11-11 11:00:16.439,58
2023-11-11 11:00:17.456,57
2023-11-11 11:00:18.416,56
2023-11-11 11:00:19.385,57
2023-11-11 11:00:20.355,58
2023-11-11 11:00:21.321,58
2023-11-11 11:00:22.227,58
2023-11-11 11:00:23.243,58
2023-11-11 11:30:01.057,61
2023-11-11 11:30:02.024,61
2023-11-11 11:30:03.001,61
2023-11-11 11:30:03.970,60
2023-11-11 11:30:04.878,60
2023-11-11 11:30:05.900,59
2023-11-11 11:30:06.870,60
2023-11-11 11:30:07.838,60
2023-11-11 11:30:08.806,61
2023-11-11 11:30:09.773,61
2023-11-11 11:30:10.683,61
2023-11-11 11:30:11.702,61
2023-11-11 11:30:12.670,61
2023-11-11 11:30:13.638,61
2023-11-11 11:30:14.608,61
2023-11-11 11:30:15.570,61
2023-11-11 11:30:16.498,61
2023-11-11 11:30:17.513,61
2023-11-11 11:30:18.477,61
2023-11-11 11:30:19.446,60
2023-11-11 11:30:20.408,60
2023-11-11 11:30:21.374,59
2023-11-11 11:30:22.291,59
2023-11-11 11:30:23.302,58
2023-11-11 12:00:01.030,59
2023-11-11 12:00:01.997,59
2023-11-11 12:00:02.957,59
2023-11-11 12:00:03.920,58
2023-11-11 12:00:04.839,58
2023-11-11 12:00:05.850,58
2023-11-11 12:00:06.805,58
2023-11-11 12:00:07.772,58
2023-11-11 12:00:08.728,58
2023-11-11 12:00:09.689,58
2023-11-11 12:00:10.613,58
2023-11-11 12:00:11.619,58
2023-11-11 12:00:12.583,58
2023-11-11 12:00:13.548,59
2023-11-11 12:00:14.507,59
2023-11-11 12:00:15.473,59
2023-11-11 12:00:16.396,59
2023-11-11 12:00:17.399,59
2023-11-11 12:00:18.363,57
2023-11-11 12:00:19.329,59
2023-11-11 12:00:20.294,59
2023-11-11 12:00:21.265,59
2023-11-11 12:00:22.178,59
2023-11-11 12:00:23.187,59
2023-11-11 12:30:02.937,67
2023-11-11 12:30:03.898,67
2023-11-11 12:30:04.809,67
2023-11-11 12:30:05.817,67
2023-11-11 12:30:06.789,67
2023-11-11 12:30:07.749,67
2023-11-11 12:30:08.709,68
2023-11-11 12:30:09.678,68
2023-11-11 12:30:10.593,68
2023-11-11 12:30:11.604,68
2023-11-11 12:30:12.566,69
2023-11-11 12:30:13.533,69
2023-11-11 12:30:14.491,69
2023-11-11 12:30:15.459,69
2023-11-11 12:30:16.377,69
2023-11-11 12:30:17.401,69
2023-11-11 12:30:18.361,69
2023-11-11 12:30:19.323,69
2023-11-11 12:30:20.277,69
2023-11-11 12:30:21.247,69
2023-11-11 12:30:22.157,69
2023-11-11 12:30:23.177,69
2023-11-11 13:00:08.809,58
2023-11-11 13:00:09.776,58
2023-11-11 13:00:10.706,58
2023-11-11 13:00:11.717,58
2023-11-11 13:00:12.688,57
2023-11-11 13:00:13.659,56
2023-11-11 13:00:14.637,56
2023-11-11 13:00:15.596,56
2023-11-11 13:00:16.514,56
2023-11-11 13:00:17.538,56
2023-11-11 13:00:18.510,60
2023-11-11 13:00:19.472,61
2023-11-11 13:00:20.435,61
2023-11-11 13:00:21.405,61
2023-11-11 13:00:22.327,61
2023-11-11 13:00:23.345,61
2023-11-11 13:30:01.974,64
2023-11-11 13:30:02.935,64
2023-11-11 13:30:03.912,64
2023-11-11 13:30:04.828,64
2023-11-11 13:30:05.850,64
2023-11-11 13:30:06.818,65
2023-11-11 13:30:07.782,65
2023-11-11 13:30:08.751,65
2023-11-11 13:30:09.716,65
2023-11-11 13:30:10.641,65
2023-11-11 13:30:11.659,66
2023-11-11 13:30:12.633,66
2023-11-11 13:30:13.601,66
2023-11-11 13:30:14.565,66
2023-11-11 13:30:15.541,65
2023-11-11 13:30:16.447,65
2023-11-11 13:30:17.473,65
2023-11-11 13:30:18.431,65
2023-11-11 13:30:19.404,65
2023-11-11 13:30:20.371,67
2023-11-11 13:30:21.338,68
2023-11-11 13:30:22.265,68
2023-11-11 13:30:23.283,68
2023-11-12 11:29:51.336,110
2023-11-12 11:29:52.302,110
2023-11-12 11:29:53.268,110
2023-11-12 11:29:54.191,110
2023-11-12 11:29:55.205,114
2023-11-12 11:29:56.169,117
2023-11-12 11:29:57.135,119
2023-11-12 11:29:58.104,120
2023-11-12 11:29:59.058,120
2023-11-12 11:29:59.974,120
2023-11-12 11:30:00.998,121
2023-11-12 11:59:44.720,62
2023-11-12 11:59:45.680,62
2023-11-12 11:59:46.655,62
2023-11-12 11:59:47.566,62
2023-11-12 11:59:48.577,61
2023-11-12 11:59:49.539,62
2023-11-12 11:59:50.505,62
2023-11-12 11:59:51.477,62
2023-11-12 11:59:52.444,62
2023-11-12 11:59:53.347,62
2023-11-12 11:59:54.355,62
2023-11-12 11:59:55.319,62
2023-11-12 11:59:56.284,62
2023-11-12 11:59:57.248,62
2023-11-12 11:59:58.208,62
2023-11-12 11:59:59.122,62
2023-11-12 12:00:00.134,62
2023-11-12 12:29:37.919,62
2023-11-12 12:29:38.882,62
2023-11-12 12:29:39.851,62
2023-11-12 12:29:40.819,61
2023-11-12 12:29:41.729,61
2023-11-12 12:29:42.739,60
2023-11-12 12:29:43.714,61
2023-11-12 12:29:44.675,61
2023-11-12 12:29:45.640,61
2023-11-12 12:29:46.601,61
2023-11-12 12:29:47.516,61
2023-11-12 12:29:48.532,61
2023-11-12 12:29:49.492,61
2023-11-12 12:29:50.455,60
2023-11-12 12:29:51.419,60
2023-11-12 12:29:52.385,60
2023-11-12 12:29:53.305,60
2023-11-12 12:29:54.313,60
2023-11-12 12:29:55.276,59
2023-11-12 12:29:56.245,59
2023-11-12 12:29:57.215,59
2023-11-12 12:29:58.173,59
2023-11-12 12:29:59.088,59
2023-11-12 12:30:00.095,59
2023-11-12 12:59:39.934,55
2023-11-12 12:59:40.899,55
2023-11-12 12:59:41.818,55
2023-11-12 12:59:42.830,55
2023-11-12 12:59:43.796,55
2023-11-12 12:59:44.755,55
2023-11-12 12:59:45.711,55
2023-11-12 12:59:46.677,56
2023-11-12 12:59:47.600,56
2023-11-12 12:59:48.603,56
2023-11-12 12:59:49.564,57
2023-11-12 12:59:50.536,57
2023-11-12 12:59:51.502,57
2023-11-12 12:59:52.461,57
2023-11-12 12:59:53.376,57
2023-11-12 12:59:54.389,57
2023-11-12 12:59:55.352,57
2023-11-12 12:59:56.323,58
2023-11-12 12:59:57.286,58
2023-11-12 12:59:58.244,57
2023-11-12 12:59:59.157,57
2023-11-12 13:00:00.171,57
2023-11-13 11:00:08.220,71
2023-11-13 11:00:09.175,71
2023-11-13 11:00:10.096,71
2023-11-13 11:00:11.103,71
2023-11-13 15:30:18.244,110
2023-11-13 15:59:56.029,63
2023-11-13 15:59:56.987,63
2023-11-13 15:59:57.950,63
2023-11-13 15:59:58.918,63
2023-11-13 15:59:59.842,63
2023-11-13 16:00:00.843,64
2023-11-13 16:00:01.808,62
2023-11-13 16:00:02.779,63
2023-11-13 16:00:03.739,65
2023-11-13 16:00:04.736,65
2023-11-13 16:00:05.620,65
2023-11-13 16:00:06.637,65
2023-11-13 16:00:07.607,65
2023-11-13 16:00:08.567,65
2023-11-13 16:00:09.523,65
2023-11-13 16:00:10.490,65
2023-11-13 16:00:11.413,65
2023-11-13 16:00:12.428,65
2023-11-13 16:00:13.399,65
2023-11-13 16:00:14.354,65
2023-11-13 16:00:15.315,65
2023-11-13 16:00:16.283,65
2023-11-13 16:00:17.205,65
2023-11-13 16:00:18.206,65
2023-11-13 16:29:56.052,64
2023-11-13 16:29:57.017,64
2023-11-13 16:29:57.983,64
2023-11-13 16:29:58.948,64
2023-11-13 16:29:59.874,64
2023-11-13 16:30:00.880,64
2023-11-13 16:30:01.852,64
2023-11-13 16:30:02.818,64
2023-11-13 16:30:03.786,65
2023-11-13 16:30:04.750,66
2023-11-13 16:30:05.663,66
2023-11-13 16:30:06.682,66
2023-11-13 16:30:07.649,66
2023-11-13 16:30:08.618,67
2023-11-13 16:30:09.578,67
2023-11-13 16:30:10.549,67
2023-11-13 16:30:11.456,67
2023-11-13 16:30:12.470,67
2023-11-13 16:30:13.436,67
2023-11-13 16:30:14.403,67
2023-11-13 16:30:15.367,68
2023-11-13 16:30:16.339,66
2023-11-13 16:30:17.252,66
2023-11-13 16:30:18.282,65
2023-11-13 16:59:57.941,76
2023-11-13 16:59:58.913,76
2023-11-13 16:59:59.833,76
2023-11-13 17:00:00.849,76
2023-11-13 17:00:01.810,75
2023-11-13 17:00:02.771,75
2023-11-13 17:00:03.739,76
2023-11-13 17:00:04.709,76
2023-11-13 17:00:05.640,76
2023-11-13 17:00:06.653,76
2023-11-13 17:00:07.624,75
2023-11-13 17:00:08.591,74
2023-11-13 17:00:09.553,74
2023-11-13 17:00:10.524,73
2023-11-13 17:00:11.439,73
2023-11-13 17:00:12.462,73
2023-11-13 17:00:13.421,72
2023-11-13 17:00:14.382,71
2023-11-13 17:00:15.349,71
2023-11-13 17:00:16.319,69
2023-11-13 17:00:17.248,69
2023-11-13 17:00:18.256,69
2023-11-13 17:29:55.967,71
2023-11-13 17:29:56.929,71
2023-11-13 17:29:57.894,71
2023-11-13 17:29:58.859,71
2023-11-13 17:29:59.786,71
2023-11-13 17:30:00.805,70
2023-11-13 17:30:01.765,69
2023-11-13 17:30:02.727,69
2023-11-13 17:30:03.692,69
2023-11-13 17:30:04.658,69
2023-11-13 17:30:05.566,69
2023-11-13 17:30:06.583,68
2023-11-13 17:30:07.549,68
